quarter,year,city,cpi_index
Sep-2024,2024,Greater Melbourne,139.3
Sep-2024,2024,Greater Brisbane,139.4
Sep-2024,2024,Greater Adelaide,140.6
Sep-2024,2024,Greater Perth,137.0
Sep-2024,2024,Greater Hobart,136.8
Sep-2024,2024,Greater Darwin,133.8
Sep-2024,2024,Australian Capital Territory,137.2
Dec-2024,2024,Australia,139.4
Dec-2024,2024,Greater Sydney,139.7
Dec-2024,2024,Greater Melbourne,139.5
Dec-2024,2024,Greater Brisbane,140.2
Dec-2024,2024,Greater Adelaide,140.5
Dec-2024,2024,Greater Perth,137.9
Dec-2024,2024,Greater Hobart,138.9
Dec-2024,2024,Greater Darwin,133.7
Dec-2024,2024,Australian Capital Territory,137.3
Mar-2025,2025,Australia,140.7
Mar-2025,2025,Greater Sydney,140.9
Mar-2025,2025,Greater Melbourne,140.7
Mar-2025,2025,Greater Brisbane,142.9
Mar-2025,2025,Greater Adelaide,141.2
Mar-2025,2025,Greater Perth,138.6
Mar-2025,2025,Greater Hobart,140.0
Mar-2025,2025,Greater Darwin,134.6
Mar-2025,2025,Australian Capital Territory,138.6
Jun-2025,2025,Australia,141.7
Jun-2025,2025,Greater Sydney,141.8
Jun-2025,2025,Greater Melbourne,141.2
Jun-2025,2025,Greater Brisbane,144.1
Jun-2025,2025,Greater Adelaide,142.4
Jun-2025,2025,Greater Perth,141.3
Jun-2025,2025,Greater Hobart,140.7
Jun-2025,2025,Greater Darwin,135.7
Jun-2025,2025,Australian Capital Territory,139.0
