region_code,sa3_name,sa3_name_lower,gcc_name,state_name,end_year,individuals,total_income,median_taxable_income,average_taxable_income,avg_income_thousand,salary_share_pct,mean_price_thousand,mean_price_value,mean_price_thousand_value,price_to_income,price_to_income_rank_city,area_sq_km
12502,Carlingford,carlingford,Greater Sydney,New South Wales,2018,36379,2311981026.0,52769.0,63560.0,63.56,78.4,874.925,874925.0,874.925,13.765339836375079,24,25.6873
12301,Camden,camden,Greater Sydney,New South Wales,2018,38390,2551063296.0,58938.0,66444.0,66.444,87.7,874.925,874925.0,874.925,13.167855637830353,25,73.8692
11602,Blacktown - North,blacktown - north,Greater Sydney,New South Wales,2018,59813,4144540865.0,62048.0,69289.0,69.289,88.4,874.925,874925.0,874.925,12.627184690210568,26,103.0657
11703,Sydney Inner City,sydney inner city,Greater Sydney,New South Wales,2018,173280,12092025457.0,49265.0,69784.0,69.784,86.7,874.925,874925.0,874.925,12.537616072452138,27,25.0658
11502,Dural - Wisemans Ferry,dural - wisemans ferry,Greater Sydney,New South Wales,2018,14838,1047501233.0,51090.0,70591.0,70.591,70.0,874.925,874925.0,874.925,12.394285390488873,28,569.2386
12802,Sutherland - Menai - Heathcote,sutherland - menai - heathcote,Greater Sydney,New South Wales,2018,63077,4543309610.0,60891.0,72031.0,72.031,81.8,874.925,874925.0,874.925,12.146506365314934,29,240.2473
11702,Marrickville - Sydenham - Petersham,marrickville - sydenham - petersham,Greater Sydney,New South Wales,2018,36026,2597040051.0,60737.0,72092.0,72.092,86.7,874.925,874925.0,874.925,12.136228707762303,30,12.67
11504,Rouse Hill - McGraths Hill,rouse hill - mcgraths hill,Greater Sydney,New South Wales,2018,22218,1604030108.0,60504.0,72211.0,72.211,83.3,874.925,874925.0,874.925,12.116228829402722,31,118.2237
12102,Hornsby,hornsby,Greater Sydney,New South Wales,2018,48134,3480279418.0,59769.0,72302.0,72.302,80.6,874.925,874925.0,874.925,12.100979226024176,32,137.3989
12602,Ryde - Hunters Hill,ryde - hunters hill,Greater Sydney,New South Wales,2018,78179,5705808158.0,57201.0,72984.0,72.984,78.5,874.925,874925.0,874.925,11.987901457853777,33,47.1624
12801,Cronulla - Miranda - Caringbah,cronulla - miranda - caringbah,Greater Sydney,New South Wales,2018,62911,4681827005.0,58559.0,74421.0,74.421,76.3,874.925,874925.0,874.925,11.756426277529192,34,55.6052
12202,Pittwater,pittwater,Greater Sydney,New South Wales,2018,34956,2667999405.0,53284.0,76316.0,76.316,69.1,874.925,874925.0,874.925,11.464502856543843,35,90.6494
12601,Pennant Hills - Epping,pennant hills - epping,Greater Sydney,New South Wales,2018,28209,2163843467.0,59081.0,76705.0,76.705,75.4,874.925,874925.0,874.925,11.406362036373118,36,22.1744
11501,Baulkham Hills,baulkham hills,Greater Sydney,New South Wales,2018,83140,6450219011.0,60970.0,77585.0,77.585,78.1,874.925,874925.0,874.925,11.276986530901592,37,72.0257
12203,Warringah,warringah,Greater Sydney,New South Wales,2018,90632,7119582008.0,56992.0,78556.0,78.556,76.9,874.925,874925.0,874.925,11.137596109781557,38,149.2123
11802,Eastern Suburbs - South,eastern suburbs - south,Greater Sydney,New South Wales,2018,82637,6500597626.0,59379.0,78661.0,78.661,79.7,874.925,874925.0,874.925,11.122729179644296,39,31.548
12001,Canada Bay,canada bay,Greater Sydney,New South Wales,2018,49389,3969602312.0,62803.0,80366.0,80.366,78.4,874.925,874925.0,874.925,10.886755593161286,40,19.7477
12101,Chatswood - Lane Cove,chatswood - lane cove,Greater Sydney,New South Wales,2018,66872,6545142147.0,66692.0,97882.0,97.882,75.0,874.925,874925.0,874.925,8.938568889070513,41,33.1733
12103,Ku-ring-gai,ku-ring-gai,Greater Sydney,New South Wales,2018,63931,6463821980.0,62768.0,101108.0,101.108,67.5,874.925,874925.0,874.925,8.653370653162954,42,85.5463
11801,Eastern Suburbs - North,eastern suburbs - north,Greater Sydney,New South Wales,2018,84782,8641715715.0,61000.0,101933.0,101.933,72.3,874.925,874925.0,874.925,8.583334150863802,43,26.1862
12002,Leichhardt,leichhardt,Greater Sydney,New South Wales,2018,35176,3617398302.0,76868.0,102834.0,102.834,79.9,874.925,874925.0,874.925,8.50812960693934,44,10.6577
12201,Manly,manly,Greater Sydney,New South Wales,2018,27349,2920550192.0,64116.0,106804.0,106.804,73.4,874.925,874925.0,874.925,8.19187483614846,45,14.3455
12104,North Sydney - Mosman,north sydney - mosman,Greater Sydney,New South Wales,2018,60703,7075835231.0,75487.0,116559.0,116.559,73.4,874.925,874925.0,874.925,7.506284371005242,46,18.9809
