SA3,SA3 NAME,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,2017-18,2018-19,2019-20,2020-21,2021-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10303,Lithgow - Mudgee,"20,734","21,504","21,584","22,362","22,888"," 	42 "," 	41 "," 	41 "," 	41 "," 	41 ","1,248,648,411","1,330,736,770","1,391,491,574","1,449,670,236","1,507,539,272","48,450","49,988","51,977","53,515","53,949","60,211","61,877","64,469","64,827","65,866"," 	78.5 "," 	79.5 "," 	79.4 "," 	79.9 "," 	80.1 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10304,Orange,"29,771","30,299","30,630","31,609","32,564"," 	40 "," 	40 "," 	39 "," 	39 "," 	39 ","1,736,807,230","1,827,525,544","1,920,975,398","2,058,041,200","2,195,751,713","50,590","52,472","54,682","57,368","59,030","58,335","60,316","62,715","65,109","67,429"," 	80.3 "," 	80.4 "," 	80.6 "," 	81.1 "," 	81.3 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10401,Clarence Valley,"21,233","21,765","21,681","22,167","22,999"," 	43 "," 	43 "," 	43 "," 	43 "," 	42 ","1,025,568,975","1,096,297,268","1,114,891,515","1,150,005,706","1,224,245,465","42,064","44,026","45,123","46,177","46,724","48,296","50,358","51,423","51,879","53,230"," 	74.0 "," 	74.2 "," 	73.7 "," 	74.4 "," 	75.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10402,Coffs Harbour,"42,472","43,747","44,272","44,902","46,214"," 	41 "," 	41 "," 	40 "," 	40 "," 	40 ","2,050,240,354","2,154,074,307","2,253,746,503","2,399,555,683","2,551,516,954","41,506","42,474","43,690","46,377","47,449","48,268","49,236","50,907","53,440","55,211"," 	75.7 "," 	75.7 "," 	75.7 "," 	76.0 "," 	76.2 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10501,Bourke - Cobar - Coonamble,"10,656","10,316","10,032","10,389","10,803"," 	39 "," 	39 "," 	39 "," 	39 "," 	38 ","557,243,622","551,993,082","559,536,415","591,275,447","626,996,052","44,604","46,285","48,884","49,861","50,800","52,274","53,524","55,775","56,914","58,039"," 	77.2 "," 	77.8 "," 	76.6 "," 	77.0 "," 	77.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10502,Broken Hill and Far West,"9,342","9,287","8,997","9,303","9,399"," 	41 "," 	41 "," 	41 "," 	41 "," 	41 ","513,779,654","535,024,965","550,001,612","571,461,380","596,125,599","47,817","50,003","53,714","54,477","55,813","54,973","57,604","61,132","61,428","63,424"," 	84.2 "," 	85.3 "," 	84.9 "," 	85.9 "," 	85.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10503,Dubbo,"34,082","34,815","35,291","36,659","37,498"," 	39 "," 	39 "," 	38 "," 	38 "," 	38 ","1,786,365,434","1,884,944,314","1,981,034,696","2,132,410,605","2,263,458,245","47,370","49,286","51,188","53,425","55,000","52,418","54,148","56,134","58,169","60,362"," 	79.0 "," 	79.8 "," 	80.1 "," 	80.8 "," 	81.0 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10601,Lower Hunter,"43,970","45,511","46,480","48,527","50,986"," 	39 "," 	39 "," 	39 "," 	39 "," 	39 ","2,731,220,822","2,904,733,269","3,073,092,194","3,231,569,797","3,452,249,099","50,696","52,143","54,141","55,605","56,157","62,116","63,826","66,116","66,593","67,710"," 	83.9 "," 	84.1 "," 	84.3 "," 	85.0 "," 	85.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10602,Maitland,"41,198","42,820","44,009","46,205","48,639"," 	38 "," 	38 "," 	38 "," 	38 "," 	38 ","2,570,793,852","2,744,553,163","2,905,355,379","3,102,428,259","3,332,910,522","53,505","55,277","56,950","58,864","59,628","62,398","64,091","66,017","67,145","68,523"," 	85.5 "," 	85.5 "," 	85.6 "," 	86.2 "," 	86.6 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10603,Port Stephens,"33,417","34,006","34,399","35,396","36,592"," 	43 "," 	43 "," 	43 "," 	43 "," 	42 ","1,829,584,832","1,895,974,321","1,982,774,816","2,084,296,324","2,200,014,155","46,757","47,787","49,199","50,758","51,193","54,750","55,748","57,640","58,885","60,123"," 	75.6 "," 	75.1 "," 	75.2 "," 	75.9 "," 	76.5 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
