region_code,region_name,region_category,year,end_year,individuals,median_age,total_income,median_taxable_income,average_taxable_income,salary_wage_share
10402,Coffs Harbour,SA3,2021-22,2022,46214,40,2551516954,47449,55211,76.2
10501,Bourke - Cobar - Coonamble,SA3,2017-18,2018,10656,39,557243622,44604,52274,77.2
10501,Bourke - Cobar - Coonamble,SA3,2018-19,2019,10316,39,551993082,46285,53524,77.8
10501,Bourke - Cobar - Coonamble,SA3,2019-20,2020,10032,39,559536415,48884,55775,76.6
10501,Bourke - Cobar - Coonamble,SA3,2020-21,2021,10389,39,591275447,49861,56914,77.0
10501,Bourke - Cobar - Coonamble,SA3,2021-22,2022,10803,38,626996052,50800,58039,77.6
10502,Broken Hill and Far West,SA3,2017-18,2018,9342,41,513779654,47817,54973,84.2
10502,Broken Hill and Far West,SA3,2018-19,2019,9287,41,535024965,50003,57604,85.3
10502,Broken Hill and Far West,SA3,2019-20,2020,8997,41,550001612,53714,61132,84.9
10502,Broken Hill and Far West,SA3,2020-21,2021,9303,41,571461380,54477,61428,85.9
10502,Broken Hill and Far West,SA3,2021-22,2022,9399,41,596125599,55813,63424,85.5
10503,Dubbo,SA3,2017-18,2018,34082,39,1786365434,47370,52418,79.0
10503,Dubbo,SA3,2018-19,2019,34815,39,1884944314,49286,54148,79.8
10503,Dubbo,SA3,2019-20,2020,35291,38,1981034696,51188,56134,80.1
10503,Dubbo,SA3,2020-21,2021,36659,38,2132410605,53425,58169,80.8
10503,Dubbo,SA3,2021-22,2022,37498,38,2263458245,55000,60362,81.0
10601,Lower Hunter,SA3,2017-18,2018,43970,39,2731220822,50696,62116,83.9
10601,Lower Hunter,SA3,2018-19,2019,45511,39,2904733269,52143,63826,84.1
10601,Lower Hunter,SA3,2019-20,2020,46480,39,3073092194,54141,66116,84.3
10601,Lower Hunter,SA3,2020-21,2021,48527,39,3231569797,55605,66593,85.0
10601,Lower Hunter,SA3,2021-22,2022,50986,39,3452249099,56157,67710,85.5
10602,Maitland,SA3,2017-18,2018,41198,38,2570793852,53505,62398,85.5
10602,Maitland,SA3,2018-19,2019,42820,38,2744553163,55277,64091,85.5
10602,Maitland,SA3,2019-20,2020,44009,38,2905355379,56950,66017,85.6
10602,Maitland,SA3,2020-21,2021,46205,38,3102428259,58864,67145,86.2
10602,Maitland,SA3,2021-22,2022,48639,38,3332910522,59628,68523,86.6
10603,Port Stephens,SA3,2017-18,2018,33417,43,1829584832,46757,54750,75.6
10603,Port Stephens,SA3,2018-19,2019,34006,43,1895974321,47787,55748,75.1
10603,Port Stephens,SA3,2019-20,2020,34399,43,1982774816,49199,57640,75.2
10603,Port Stephens,SA3,2020-21,2021,35396,43,2084296324,50758,58885,75.9
10603,Port Stephens,SA3,2021-22,2022,36592,42,2200014155,51193,60123,76.5
10604,Upper Hunter,SA3,2017-18,2018,15577,39,1005623625,52317,64579,84.0
10604,Upper Hunter,SA3,2018-19,2019,15881,39,1054937207,53787,66432,84.4
10604,Upper Hunter,SA3,2019-20,2020,16054,39,1094915322,54999,68202,84.6
10604,Upper Hunter,SA3,2020-21,2021,16025,39,1109742661,56955,69251,84.6
10604,Upper Hunter,SA3,2021-22,2022,16458,39,1170120510,58098,71097,85.1
10701,Dapto - Port Kembla,SA3,2017-18,2018,37045,39,2158522660,50637,58271,83.8
10701,Dapto - Port Kembla,SA3,2018-19,2019,37652,39,2264943872,52562,60147,83.6
10701,Dapto - Port Kembla,SA3,2019-20,2020,38017,39,2347379901,53978,61746,83.5
10701,Dapto - Port Kembla,SA3,2020-21,2021,38681,39,2444516987,55810,63197,84.0
10701,Dapto - Port Kembla,SA3,2021-22,2022,40363,39,2603119536,56459,64493,84.3
10702,Illawarra Catchment Reserve,SA3,2017-18,2018,np,np,np,np,np,np
