region_code,region_name,region_category,year,end_year,individuals,median_age,total_income,median_taxable_income,average_taxable_income,salary_wage_share
11901,Bankstown,SA3,2019-20,2020,85533,37,4961569785,50024,58008,82.1
11901,Bankstown,SA3,2020-21,2021,85661,38,5132257760,51538,59914,82.4
11901,Bankstown,SA3,2021-22,2022,88057,38,5330884832,50781,60539,82.8
11902,Canterbury,SA3,2017-18,2018,66970,36,3495512729,44485,52194,80.8
11902,Canterbury,SA3,2018-19,2019,68691,36,3707425215,45988,53970,80.4
11902,Canterbury,SA3,2019-20,2020,68477,36,3819557455,46968,55779,79.9
11902,Canterbury,SA3,2020-21,2021,66576,37,3914581223,49697,58799,80.0
11902,Canterbury,SA3,2021-22,2022,68017,37,4058456540,49698,59668,80.4
11903,Hurstville,SA3,2017-18,2018,71762,36,4308586056,48852,60037,79.5
11903,Hurstville,SA3,2018-19,2019,73869,36,4544779665,50079,61525,79.2
11903,Hurstville,SA3,2019-20,2020,73847,37,4682482301,50959,63408,79.1
11903,Hurstville,SA3,2020-21,2021,71573,37,4834597951,54746,67548,79.3
11903,Hurstville,SA3,2021-22,2022,72739,38,5099792228,56624,70111,79.5
11904,Kogarah - Rockdale,SA3,2017-18,2018,82442,35,4891686837,50447,59336,82.1
11904,Kogarah - Rockdale,SA3,2018-19,2019,84339,35,5167008525,51998,61268,81.8
11904,Kogarah - Rockdale,SA3,2019-20,2020,83997,36,5304426213,53038,63150,81.5
11904,Kogarah - Rockdale,SA3,2020-21,2021,81119,36,5471563850,56906,67451,81.6
11904,Kogarah - Rockdale,SA3,2021-22,2022,82752,37,5785822808,59222,69918,81.9
12001,Canada Bay,SA3,2017-18,2018,49389,38,3969602312,62803,80366,78.4
12001,Canada Bay,SA3,2018-19,2019,49751,38,4122391736,64836,82859,77.7
12001,Canada Bay,SA3,2019-20,2020,49619,39,4267637368,67187,86008,77.7
12001,Canada Bay,SA3,2020-21,2021,48831,39,4404669050,70951,90202,77.8
12001,Canada Bay,SA3,2021-22,2022,49524,40,4676685879,73561,94433,77.6
12002,Leichhardt,SA3,2017-18,2018,35176,40,3617398302,76868,102834,79.9
12002,Leichhardt,SA3,2018-19,2019,35306,40,3758749707,79627,106450,79.4
12002,Leichhardt,SA3,2019-20,2020,35055,41,3847420103,82199,109754,79.5
12002,Leichhardt,SA3,2020-21,2021,33542,41,3881401553,86520,115718,79.0
12002,Leichhardt,SA3,2021-22,2022,33907,41,4133582126,89291,121909,79.1
12003,Strathfield - Burwood - Ashfield,SA3,2017-18,2018,96483,34,6025401511,50000,62448,82.4
12003,Strathfield - Burwood - Ashfield,SA3,2018-19,2019,100057,34,6417791394,51094,64139,82.0
12003,Strathfield - Burwood - Ashfield,SA3,2019-20,2020,99894,34,6659784627,52933,66669,81.9
12003,Strathfield - Burwood - Ashfield,SA3,2020-21,2021,96471,35,6924224380,57684,71775,81.8
12003,Strathfield - Burwood - Ashfield,SA3,2021-22,2022,98760,35,7363153661,59530,74556,82.2
12101,Chatswood - Lane Cove,SA3,2017-18,2018,66872,38,6545142147,66692,97882,75.0
12101,Chatswood - Lane Cove,SA3,2018-19,2019,67892,38,6854634010,69650,100964,74.2
12101,Chatswood - Lane Cove,SA3,2019-20,2020,67729,39,7055120711,72173,104167,74.2
12101,Chatswood - Lane Cove,SA3,2020-21,2021,66144,39,7200250143,76028,108857,74.4
12101,Chatswood - Lane Cove,SA3,2021-22,2022,67258,40,7697537978,78729,114448,74.7
12102,Hornsby,SA3,2017-18,2018,48134,40,3480279418,59769,72302,80.6
12102,Hornsby,SA3,2018-19,2019,49311,40,3684198907,61872,74711,80.5
12102,Hornsby,SA3,2019-20,2020,49413,40,3827443751,64210,77458,80.7
12102,Hornsby,SA3,2020-21,2021,48890,41,3971046552,67488,81224,80.5
12102,Hornsby,SA3,2021-22,2022,49768,41,4236667009,70127,85128,80.9
12103,Ku-ring-gai,SA3,2017-18,2018,63931,43,6463821980,62768,101108,67.5
12103,Ku-ring-gai,SA3,2018-19,2019,65052,42,6694031741,65000,102911,67.0
12103,Ku-ring-gai,SA3,2019-20,2020,65032,43,6884465709,68099,105863,67.5
12103,Ku-ring-gai,SA3,2020-21,2021,64882,43,7176636074,71727,110611,68.3
12103,Ku-ring-gai,SA3,2021-22,2022,65717,43,7605897638,74018,115737,68.2
12104,North Sydney - Mosman,SA3,2017-18,2018,60703,38,7075835231,75487,116559,73.4
12104,North Sydney - Mosman,SA3,2018-19,2019,60536,38,7227980191,78190,119410,73.0
12104,North Sydney - Mosman,SA3,2019-20,2020,59551,39,7299533583,80552,122576,72.7
12104,North Sydney - Mosman,SA3,2020-21,2021,56993,39,7237322841,84479,126986,72.5
12104,North Sydney - Mosman,SA3,2021-22,2022,56989,39,7754566668,88155,136071,72.5
12201,Manly,SA3,2017-18,2018,27349,38,2920550192,64116,106804,73.4
12201,Manly,SA3,2018-19,2019,27395,38,3094567852,66979,112969,73.1
12201,Manly,SA3,2019-20,2020,27147,39,3116296773,69558,114793,72.9
12201,Manly,SA3,2020-21,2021,26076,40,3196836074,74966,122597,72.5
12201,Manly,SA3,2021-22,2022,26037,40,3437436297,78267,132021,72.5
12202,Pittwater,SA3,2017-18,2018,34956,44,2667999405,53284,76316,69.1
12202,Pittwater,SA3,2018-19,2019,35136,44,2749305081,55324,78241,68.5
12202,Pittwater,SA3,2019-20,2020,35296,44,2856237799,57116,80922,69.1
12202,Pittwater,SA3,2020-21,2021,35001,44,2974747831,60000,84990,69.6
12202,Pittwater,SA3,2021-22,2022,35432,44,3124470141,61069,88182,69.8
12203,Warringah,SA3,2017-18,2018,90632,40,7119582008,56992,78556,76.9
12203,Warringah,SA3,2018-19,2019,92051,40,7460679140,58674,81047,76.8
12203,Warringah,SA3,2019-20,2020,92342,41,7814951272,60924,84631,77.2
12203,Warringah,SA3,2020-21,2021,90673,41,8117987757,64820,89530,77.2
12203,Warringah,SA3,2021-22,2022,91866,41,8750101244,66892,95249,77.2
12301,Camden,SA3,2017-18,2018,38390,38,2551063296,58938,66444,87.7
12301,Camden,SA3,2018-19,2019,39781,38,2702057781,60550,67927,87.5
12301,Camden,SA3,2019-20,2020,40645,39,2849599060,62368,70109,87.6
12301,Camden,SA3,2020-21,2021,41707,39,2988607527,64008,71657,87.7
12301,Camden,SA3,2021-22,2022,42868,39,3128410763,64732,72978,87.8
12302,Campbelltown (NSW),SA3,2017-18,2018,87152,37,4878599038,51845,55976,88.5
12302,Campbelltown (NSW),SA3,2018-19,2019,89474,37,5191193381,53819,58018,88.1
12302,Campbelltown (NSW),SA3,2019-20,2020,89899,38,5365934432,55090,59688,87.8
12302,Campbelltown (NSW),SA3,2020-21,2021,90978,38,5555300791,56462,61062,87.8
12302,Campbelltown (NSW),SA3,2021-22,2022,94940,38,5894148182,56909,62083,88.3
12303,Wollondilly,SA3,2017-18,2018,23216,40,1472498846,55346,63429,83.0
12303,Wollondilly,SA3,2018-19,2019,23530,40,1539805807,56994,65448,82.7
12303,Wollondilly,SA3,2019-20,2020,23938,40,1616245789,58939,67518,83.3
12303,Wollondilly,SA3,2020-21,2021,24636,40,1701165361,60871,69052,83.6
12303,Wollondilly,SA3,2021-22,2022,25448,39,1796566356,61852,70598,83.8
12401,Blue Mountains,SA3,2017-18,2018,40710,43,2565839168,53179,63024,77.6
12401,Blue Mountains,SA3,2018-19,2019,40708,43,2642876150,55249,64923,77.3
12401,Blue Mountains,SA3,2019-20,2020,40273,44,2730484411,58104,67799,77.3
12401,Blue Mountains,SA3,2020-21,2021,39978,44,2830473047,60867,70801,77.5
12401,Blue Mountains,SA3,2021-22,2022,40520,44,2927650309,61474,72252,77.7
12402,Blue Mountains - South,SA3,2017-18,2018,np,np,np,np,np,np
12402,Blue Mountains - South,SA3,2018-19,2019,np,np,np,np,np,np
12402,Blue Mountains - South,SA3,2019-20,2020,np,np,np,np,np,np
12402,Blue Mountains - South,SA3,2020-21,2021,np,np,np,np,np,np
12402,Blue Mountains - South,SA3,2021-22,2022,np,np,np,np,np,np
12403,Penrith,SA3,2017-18,2018,82199,37,5102708698,56486,62077,87.3
12403,Penrith,SA3,2018-19,2019,84358,37,5410158663,58502,64133,87.2
12403,Penrith,SA3,2019-20,2020,85846,37,5674358654,60132,66099,87.3
12403,Penrith,SA3,2020-21,2021,87446,38,5932032856,61940,67837,87.6
12403,Penrith,SA3,2021-22,2022,90485,38,6257407878,62916,69154,87.9
12404,Richmond - Windsor,SA3,2017-18,2018,19515,38,1137017119,52347,58258,83.5
12404,Richmond - Windsor,SA3,2018-19,2019,19720,38,1176056042,54133,59641,83.6
12404,Richmond - Windsor,SA3,2019-20,2020,19546,39,1204494464,55943,61624,83.5
12404,Richmond - Windsor,SA3,2020-21,2021,19964,38,1268340025,58081,63531,83.9
12404,Richmond - Windsor,SA3,2021-22,2022,20487,38,1305936700,57871,63745,84.1
12405,St Marys,SA3,2017-18,2018,30945,37,1750244968,53187,56560,89.8
12405,St Marys,SA3,2018-19,2019,31196,37,1830755399,55075,58678,89.4
12405,St Marys,SA3,2019-20,2020,30606,38,1842848018,56723,60212,89.1
12405,St Marys,SA3,2020-21,2021,30606,38,1879012154,58160,61394,89.3
12405,St Marys,SA3,2021-22,2022,31492,38,1945533339,58392,61779,89.5
12501,Auburn,SA3,2017-18,2018,50450,33,2543167790,41500,50414,81.8
12501,Auburn,SA3,2018-19,2019,53733,32,2760686442,42418,51377,81.7
12501,Auburn,SA3,2019-20,2020,54780,33,2918047237,43461,53268,81.8
12501,Auburn,SA3,2020-21,2021,53687,33,3107940556,48827,57890,81.7
12501,Auburn,SA3,2021-22,2022,56334,33,3377534913,50433,59956,82.2
12502,Carlingford,SA3,2017-18,2018,36379,39,2311981026,52769,63560,78.4
12502,Carlingford,SA3,2018-19,2019,37299,39,2447837386,54981,65636,77.8
12502,Carlingford,SA3,2019-20,2020,37528,39,2549998054,57144,67949,78.0
12502,Carlingford,SA3,2020-21,2021,37388,40,2647007968,59922,70798,78.3
12502,Carlingford,SA3,2021-22,2022,38633,40,2821707267,60837,73039,78.7
12503,Merrylands - Guildford,SA3,2017-18,2018,70900,35,3697370768,46147,52151,81.8
12503,Merrylands - Guildford,SA3,2018-19,2019,73125,35,3906262945,47141,53417,81.4
12503,Merrylands - Guildford,SA3,2019-20,2020,73652,35,4036782353,47963,54809,81.5
12503,Merrylands - Guildford,SA3,2020-21,2021,73119,36,4192113460,50452,57333,81.9
12503,Merrylands - Guildford,SA3,2021-22,2022,75946,36,4362399318,49182,57441,82.2
12504,Parramatta,SA3,2017-18,2018,85643,35,5351377098,55353,62489,86.0
12504,Parramatta,SA3,2018-19,2019,88415,35,5729535468,57307,64802,85.6
12504,Parramatta,SA3,2019-20,2020,89154,36,5991251452,59180,67201,85.4
12504,Parramatta,SA3,2020-21,2021,87239,36,6171947927,62322,70748,85.6
12504,Parramatta,SA3,2021-22,2022,90276,36,6613951050,63689,73264,86.3
12601,Pennant Hills - Epping,SA3,2017-18,2018,28209,40,2163843467,59081,76705,75.4
12601,Pennant Hills - Epping,SA3,2018-19,2019,29574,39,2327455241,61446,78697,75.2
12601,Pennant Hills - Epping,SA3,2019-20,2020,30117,40,2455874407,64252,81544,75.4
12601,Pennant Hills - Epping,SA3,2020-21,2021,29931,40,2539365351,67358,84841,75.6
12601,Pennant Hills - Epping,SA3,2021-22,2022,30727,40,2735024806,69883,89010,76.1
12602,Ryde - Hunters Hill,SA3,2017-18,2018,78179,37,5705808158,57201,72984,78.5
12602,Ryde - Hunters Hill,SA3,2018-19,2019,80847,37,6112628934,59422,75607,78.2
12602,Ryde - Hunters Hill,SA3,2019-20,2020,82471,37,6474608625,61505,78508,78.4
12602,Ryde - Hunters Hill,SA3,2020-21,2021,81905,38,6771381605,65141,82674,78.5
12602,Ryde - Hunters Hill,SA3,2021-22,2022,84673,38,7316283134,67502,86406,78.9
12701,Bringelly - Green Valley,SA3,2017-18,2018,56770,36,3308851165,52566,58283,86.0
12701,Bringelly - Green Valley,SA3,2018-19,2019,61004,36,3665758347,54457,60092,86.1
12701,Bringelly - Green Valley,SA3,2019-20,2020,65221,37,4055665536,56459,62183,86.4
12701,Bringelly - Green Valley,SA3,2020-21,2021,69461,37,4461780180,58303,64234,86.7
12701,Bringelly - Green Valley,SA3,2021-22,2022,75146,37,4912895219,58600,65378,87.0
12702,Fairfield,SA3,2017-18,2018,83127,37,4180914094,44942,50296,83.8
12702,Fairfield,SA3,2018-19,2019,83758,37,4309503042,46415,51451,83.4
12702,Fairfield,SA3,2019-20,2020,83020,38,4382655121,47510,52790,83.2
12702,Fairfield,SA3,2020-21,2021,82693,38,4478165347,48688,54154,83.5
12702,Fairfield,SA3,2021-22,2022,85512,38,4605371667,46984,53856,83.8
12703,Liverpool,SA3,2017-18,2018,60121,37,3536247244,53228,58823,86.2
12703,Liverpool,SA3,2018-19,2019,62771,37,3806764639,54873,60651,86.0
12703,Liverpool,SA3,2019-20,2020,64251,37,3985094974,56289,62024,86.1
12703,Liverpool,SA3,2020-21,2021,65100,38,4162241705,58083,63936,86.2
12703,Liverpool,SA3,2021-22,2022,68273,38,4426651221,58332,64838,86.7
12801,Cronulla - Miranda - Caringbah,SA3,2017-18,2018,62911,41,4681827005,58559,74421,76.3
12801,Cronulla - Miranda - Caringbah,SA3,2018-19,2019,63886,41,4880527798,60683,76398,75.8
12801,Cronulla - Miranda - Caringbah,SA3,2019-20,2020,65155,41,5111513314,62504,78452,76.3
12801,Cronulla - Miranda - Caringbah,SA3,2020-21,2021,65002,41,5313316005,65534,81741,76.6
12801,Cronulla - Miranda - Caringbah,SA3,2021-22,2022,66070,41,5640369162,67913,85370,76.7
12802,Sutherland - Menai - Heathcote,SA3,2017-18,2018,63077,41,4543309610,60891,72031,81.8
12802,Sutherland - Menai - Heathcote,SA3,2018-19,2019,63436,41,4715034269,63212,74329,81.4
12802,Sutherland - Menai - Heathcote,SA3,2019-20,2020,63484,41,4903761389,65686,77244,81.8
12802,Sutherland - Menai - Heathcote,SA3,2020-21,2021,63541,41,5067204584,67836,79747,82.2
12802,Sutherland - Menai - Heathcote,SA3,2021-22,2022,64516,41,5329365850,70134,82605,82.2
Victoria,Victoria,State,2017-18,2018,3257440,38,196930050968,49890,60456,79.0
Victoria,Victoria,State,2018-19,2019,3364814,38,209313191813,51487,62207,78.9
Victoria,Victoria,State,2019-20,2020,3417277,38,219836330041,53010,64331,79.1
Victoria,Victoria,State,2020-21,2021,3398995,38,228749891427,55526,67299,79.0
Victoria,Victoria,State,2021-22,2022,3545413,38,248496165103,57653,70089,79.7
20101,Ballarat,SA3,2017-18,2018,53419,39,2915042012,48048,54568,80.3
20101,Ballarat,SA3,2018-19,2019,55586,39,3131650457,49683,56340,80.5
20101,Ballarat,SA3,2019-20,2020,57045,39,3350143040,51335,58728,80.9
20101,Ballarat,SA3,2020-21,2021,58234,39,3568046157,53299,61271,80.8
20101,Ballarat,SA3,2021-22,2022,61331,38,3882212439,54907,63299,81.7
20102,Creswick - Daylesford - Ballan,SA3,2017-18,2018,13815,44,755027764,46184,54665,73.1
20102,Creswick - Daylesford - Ballan,SA3,2018-19,2019,14154,45,803541367,48360,56779,72.9
20102,Creswick - Daylesford - Ballan,SA3,2019-20,2020,14475,44,863554061,50730,59658,73.1
20102,Creswick - Daylesford - Ballan,SA3,2020-21,2021,14554,45,908920847,52152,62452,73.2
20102,Creswick - Daylesford - Ballan,SA3,2021-22,2022,14930,45,963161022,53909,64512,73.3
20103,Maryborough - Pyrenees,SA3,2017-18,2018,10405,44,478352917,41316,45973,74.7
20103,Maryborough - Pyrenees,SA3,2018-19,2019,10719,44,512025236,43550,47755,75.0
20103,Maryborough - Pyrenees,SA3,2019-20,2020,10762,44,539162681,45341,50099,75.5
20103,Maryborough - Pyrenees,SA3,2020-21,2021,10986,44,570887634,47031,51965,76.0
20103,Maryborough - Pyrenees,SA3,2021-22,2022,11600,43,615340716,47270,53047,76.5
20201,Bendigo,SA3,2017-18,2018,48853,39,2585125415,47321,52920,80.3
20201,Bendigo,SA3,2018-19,2019,50273,39,2766234242,49489,55022,80.2
20201,Bendigo,SA3,2019-20,2020,51014,39,2933002688,51378,57494,80.7
20201,Bendigo,SA3,2020-21,2021,52132,39,3121835577,53424,59883,80.9
20201,Bendigo,SA3,2021-22,2022,54303,38,3327446773,54700,61276,81.7
20202,Heathcote - Castlemaine - Kyneton,SA3,2017-18,2018,22802,45,1297059355,47667,56881,72.9
20202,Heathcote - Castlemaine - Kyneton,SA3,2018-19,2019,23540,44,1376221308,49046,58458,72.7
20202,Heathcote - Castlemaine - Kyneton,SA3,2019-20,2020,24006,44,1479686175,51137,61638,73.1
20202,Heathcote - Castlemaine - Kyneton,SA3,2020-21,2021,24422,45,1585831767,54163,64935,73.0
20202,Heathcote - Castlemaine - Kyneton,SA3,2021-22,2022,25539,44,1710718441,54875,66985,73.7
20203,Loddon - Elmore,SA3,2017-18,2018,4735,44,222154266,42964,46898,67.4
20203,Loddon - Elmore,SA3,2018-19,2019,4852,44,235115655,44618,48467,68.0
20203,Loddon - Elmore,SA3,2019-20,2020,4923,44,250620047,46151,50908,68.2
20203,Loddon - Elmore,SA3,2020-21,2021,5089,44,264942335,47483,52062,68.9
20203,Loddon - Elmore,SA3,2021-22,2022,5380,43,284431106,47674,52868,69.7
20301,Barwon - West,SA3,2017-18,2018,10380,41,596280466,49696,57440,75.8
20301,Barwon - West,SA3,2018-19,2019,10761,41,641491458,51910,59618,76.0
20301,Barwon - West,SA3,2019-20,2020,11178,41,686664187,53434,61430,76.6
20301,Barwon - West,SA3,2020-21,2021,11542,41,740007898,55960,64114,76.7
20301,Barwon - West,SA3,2021-22,2022,12013,41,788325196,56581,65623,76.6
20302,Geelong,SA3,2017-18,2018,100671,39,5703167669,48402,56650,80.4
20302,Geelong,SA3,2018-19,2019,104508,38,6127266908,50409,58629,80.5
20302,Geelong,SA3,2019-20,2020,107171,38,6474400365,51906,60412,80.7
20302,Geelong,SA3,2020-21,2021,108985,38,6896420781,54200,63279,80.7
20302,Geelong,SA3,2021-22,2022,114843,38,7563382428,56459,65858,81.7
20303,Surf Coast - Bellarine Peninsula,SA3,2017-18,2018,38223,42,2265863804,48364,59280,70.6
20303,Surf Coast - Bellarine Peninsula,SA3,2018-19,2019,40362,42,2479959475,50316,61444,70.7
20303,Surf Coast - Bellarine Peninsula,SA3,2019-20,2020,42703,42,2728927580,52151,63905,71.3
20303,Surf Coast - Bellarine Peninsula,SA3,2020-21,2021,44544,42,2994818029,54921,67233,71.4
20303,Surf Coast - Bellarine Peninsula,SA3,2021-22,2022,46949,41,3299112200,57082,70270,71.7
20401,Upper Goulburn Valley,SA3,2017-18,2018,26374,43,1340569432,44385,50835,74.7
20401,Upper Goulburn Valley,SA3,2018-19,2019,27118,43,1426894791,45959,52616,74.8
20401,Upper Goulburn Valley,SA3,2019-20,2020,27406,43,1505336216,47984,54927,75.0
20401,Upper Goulburn Valley,SA3,2020-21,2021,27944,43,1597363063,50299,57163,74.9
20401,Upper Goulburn Valley,SA3,2021-22,2022,29179,42,1710538257,51252,58622,75.7
20402,Wangaratta - Benalla,SA3,2017-18,2018,22590,43,1127147206,45286,49898,75.1
20402,Wangaratta - Benalla,SA3,2018-19,2019,23108,43,1184918859,46902,51277,75.5
20402,Wangaratta - Benalla,SA3,2019-20,2020,23369,43,1262213026,48946,54012,75.6
20402,Wangaratta - Benalla,SA3,2020-21,2021,24081,43,1354194417,50975,56235,76.0
20402,Wangaratta - Benalla,SA3,2021-22,2022,24787,42,1439994411,52128,58095,76.1
20403,Wodonga - Alpine,SA3,2017-18,2018,37034,41,1898209917,46595,51257,77.8
20403,Wodonga - Alpine,SA3,2018-19,2019,37916,41,2018149175,48641,53228,78.0
20403,Wodonga - Alpine,SA3,2019-20,2020,38330,41,2127005198,50527,55492,78.1
20403,Wodonga - Alpine,SA3,2020-21,2021,39402,41,2265373739,52491,57494,78.2
20403,Wodonga - Alpine,SA3,2021-22,2022,40971,41,2430479436,53960,59322,78.8
20501,Baw Baw,SA3,2017-18,2018,24823,41,1353733539,46311,54531,75.2
20501,Baw Baw,SA3,2018-19,2019,26043,41,1462151944,48614,56142,75.7
20501,Baw Baw,SA3,2019-20,2020,27037,40,1572173158,50146,58149,76.3
20501,Baw Baw,SA3,2020-21,2021,28044,40,1696326135,52443,60488,76.5
20501,Baw Baw,SA3,2021-22,2022,29784,39,1845191128,53802,61952,77.3
20502,Gippsland - East,SA3,2017-18,2018,20001,44,923377350,39999,46176,71.6
20502,Gippsland - East,SA3,2018-19,2019,20696,44,989720539,41633,47822,72.3
20502,Gippsland - East,SA3,2019-20,2020,21059,44,1061608783,43464,50411,72.7
20502,Gippsland - East,SA3,2020-21,2021,21481,44,1109977825,45000,51673,72.4
20502,Gippsland - East,SA3,2021-22,2022,22259,43,1173440610,45773,52718,72.7
20503,Gippsland - South West,SA3,2017-18,2018,27472,44,1324205858,40187,48204,68.0
20503,Gippsland - South West,SA3,2018-19,2019,28569,44,1402676439,41382,49093,68.3
20503,Gippsland - South West,SA3,2019-20,2020,29502,43,1524837009,43815,51686,68.3
20503,Gippsland - South West,SA3,2020-21,2021,30412,43,1650033845,45793,54256,68.5
20503,Gippsland - South West,SA3,2021-22,2022,31971,43,1789548430,46700,55974,69.1
20504,Latrobe Valley,SA3,2017-18,2018,35390,40,2096434299,48518,59235,83.1
20504,Latrobe Valley,SA3,2018-19,2019,36138,40,2201165229,50332,60918,83.0
20504,Latrobe Valley,SA3,2019-20,2020,36399,40,2249715916,51890,61807,83.4
20504,Latrobe Valley,SA3,2020-21,2021,37061,40,2348022916,53072,63356,83.5
20504,Latrobe Valley,SA3,2021-22,2022,38466,39,2486388047,54343,64639,83.9
20505,Wellington,SA3,2017-18,2018,19984,42,1111672145,45673,55628,76.6
20505,Wellington,SA3,2018-19,2019,20490,41,1189317310,47819,58035,76.7
20505,Wellington,SA3,2019-20,2020,20670,42,1235381245,49557,59767,76.7
20505,Wellington,SA3,2020-21,2021,21107,41,1274869703,50737,60400,76.7
20505,Wellington,SA3,2021-22,2022,21979,41,1347015712,51792,61286,76.8
20601,Brunswick - Coburg,SA3,2017-18,2018,57583,34,3667112621,53774,63685,85.0
20601,Brunswick - Coburg,SA3,2018-19,2019,59650,34,3955417572,56602,66304,85.2
20601,Brunswick - Coburg,SA3,2019-20,2020,59990,35,4152134836,58916,69214,85.3
20601,Brunswick - Coburg,SA3,2020-21,2021,57217,35,4256353338,63829,74390,84.7
20601,Brunswick - Coburg,SA3,2021-22,2022,57850,36,4548483312,67600,78625,85.4
20602,Darebin - South,SA3,2017-18,2018,33049,37,2334653532,58080,70644,83.0
20602,Darebin - South,SA3,2018-19,2019,33852,37,2514393320,60764,74278,82.9
20602,Darebin - South,SA3,2019-20,2020,33570,37,2626007944,63843,78225,82.9
20602,Darebin - South,SA3,2020-21,2021,32346,38,2688770248,68630,83125,82.3
20602,Darebin - South,SA3,2021-22,2022,32500,38,2851462446,71707,87737,82.7
20603,Essendon,SA3,2017-18,2018,40926,37,2926568745,57219,71518,80.2
20603,Essendon,SA3,2018-19,2019,42237,37,3147315734,59679,74512,80.1
20603,Essendon,SA3,2019-20,2020,42705,37,3301330683,61657,77305,80.4
20603,Essendon,SA3,2020-21,2021,41332,37,3361035046,65143,81318,80.2
20603,Essendon,SA3,2021-22,2022,41964,38,3585827380,68430,85450,80.8
20604,Melbourne City,SA3,2017-18,2018,100940,30,5898638253,40526,58439,85.4
20604,Melbourne City,SA3,2018-19,2019,104304,30,6136153450,38995,58828,84.5
20604,Melbourne City,SA3,2019-20,2020,104605,30,6379261303,41310,60984,83.7
20604,Melbourne City,SA3,2020-21,2021,94272,31,6385741941,50445,67737,83.1
20604,Melbourne City,SA3,2021-22,2022,107478,31,7404534652,51841,68893,85.2
20605,Port Phillip,SA3,2017-18,2018,72159,35,5698593802,59147,78975,80.5
20605,Port Phillip,SA3,2018-19,2019,74110,35,5957881358,60810,80389,80.1
20605,Port Phillip,SA3,2019-20,2020,73091,35,6066153640,62749,82995,80.0
20605,Port Phillip,SA3,2020-21,2021,66651,37,5990920991,69087,89885,79.0
20605,Port Phillip,SA3,2021-22,2022,66664,37,6337553662,72732,95067,79.4
20606,Stonnington - West,SA3,2017-18,2018,42968,33,3549419608,60485,82606,75.1
20606,Stonnington - West,SA3,2018-19,2019,43570,33,3732718195,63344,85666,74.9
20606,Stonnington - West,SA3,2019-20,2020,42904,33,3813006986,65675,88873,75.0
20606,Stonnington - West,SA3,2020-21,2021,39957,34,3818995731,70363,95578,74.2
20606,Stonnington - West,SA3,2021-22,2022,40011,34,4074057259,74359,101823,74.5
20607,Yarra,SA3,2017-18,2018,61362,33,4639043771,60826,75598,82.8
20607,Yarra,SA3,2018-19,2019,62937,33,4954784485,63750,78731,82.7
20607,Yarra,SA3,2019-20,2020,62347,34,5156578483,66689,82708,83.0
20607,Yarra,SA3,2020-21,2021,58472,34,5168358321,72552,88390,82.1
20607,Yarra,SA3,2021-22,2022,59318,34,5559374379,76368,93722,82.7
20701,Boroondara,SA3,2017-18,2018,93075,39,7950983663,57047,85426,68.2
20701,Boroondara,SA3,2018-19,2019,94431,39,8227677759,58769,87128,67.1
20701,Boroondara,SA3,2019-20,2020,93899,39,8415373876,60947,89622,67.3
20701,Boroondara,SA3,2020-21,2021,90663,40,8587537160,64562,94719,67.8
20701,Boroondara,SA3,2021-22,2022,92488,40,9191722877,66945,99383,68.1
20702,Manningham - West,SA3,2017-18,2018,45522,41,2876699296,48990,63189,69.1
20702,Manningham - West,SA3,2018-19,2019,46617,40,3027769902,50783,64950,68.5
20702,Manningham - West,SA3,2019-20,2020,47835,40,3199979150,51973,66896,69.5
20702,Manningham - West,SA3,2020-21,2021,47739,41,3337915398,53952,69920,69.7
20702,Manningham - West,SA3,2021-22,2022,49356,41,3620476279,57109,73354,70.3
20703,Whitehorse - West,SA3,2017-18,2018,54989,38,3429088354,47031,62360,75.6
20703,Whitehorse - West,SA3,2018-19,2019,56689,38,3630358328,48832,64038,75.0
20703,Whitehorse - West,SA3,2019-20,2020,57266,38,3775115245,49956,65922,75.1
20703,Whitehorse - West,SA3,2020-21,2021,56402,38,3951819282,53311,70065,74.8
20703,Whitehorse - West,SA3,2021-22,2022,58851,38,4314277598,55969,73308,75.8
20801,Bayside,SA3,2017-18,2018,52243,44,4954041284,59428,94829,66.0
20801,Bayside,SA3,2018-19,2019,53164,44,5128012993,61036,96453,66.0
20801,Bayside,SA3,2019-20,2020,53298,44,5288650051,63388,99228,66.6
20801,Bayside,SA3,2020-21,2021,52879,44,5469607152,66754,103436,66.6
20801,Bayside,SA3,2021-22,2022,54175,44,5915978964,69013,109201,67.0
20802,Glen Eira,SA3,2017-18,2018,85462,38,6037885302,54300,70645,75.1
20802,Glen Eira,SA3,2018-19,2019,88071,38,6437308860,56037,73094,75.3
20802,Glen Eira,SA3,2019-20,2020,89118,38,6751416047,58685,75758,75.9
20802,Glen Eira,SA3,2020-21,2021,87149,39,6988697957,62208,80193,75.8
20802,Glen Eira,SA3,2021-22,2022,89368,39,7597338273,65830,85012,76.3
20803,Kingston,SA3,2017-18,2018,66322,41,4450434055,56569,67101,79.4
20803,Kingston,SA3,2018-19,2019,67848,41,4719879278,59124,69571,79.4
20803,Kingston,SA3,2019-20,2020,68424,41,4926705755,60802,72003,79.6
20803,Kingston,SA3,2020-21,2021,67662,41,5072634440,63540,74970,79.5
20803,Kingston,SA3,2021-22,2022,69442,42,5455741956,66381,78565,80.1
20804,Stonnington - East,SA3,2017-18,2018,23637,38,2058976681,57130,87108,69.2
20804,Stonnington - East,SA3,2018-19,2019,24123,38,2165997766,58832,89782,69.5
